item,frequency,support_percent,total_utility,utility_percent,category,rank_by_frequency,rank_by_utility,rank_difference
DOORMAT FAIRY CAKE,335,1.8589423450418956,23112.86,0.2560918699272198,Others,342,47,295
CREAM HEART CARD HOLDER,504,2.7967371400033296,23052.670000000002,0.25542496113051877,Others,153,48,105
DOORMAT NEW ENGLAND,562,3.118583874368792,22934.74,0.25411828968351835,Others,123,49,74
VINTAGE UNION JACK MEMOBOARD,214,1.1875034681760168,22880.739999999998,0.25351996645670566,Others,660,50,610
SCOTTIE DOG HOT WATER BOTTLE,734,4.073025914211198,22831.49,0.25297427351373303,Others,63,51,12
SET OF 3 REGENCY CAKE TINS,726,4.028633261195272,22632.25,0.25076668240798927,Others,65,52,13
WOODEN PICTURE FRAME WHITE FINISH,1076,5.970811830642029,22410.210000000003,0.2483064659398136,Others,16,53,-37
JUMBO BAG VINTAGE DOILY ,655,3.6346484656789304,22194.12,0.2459121758271848,Others,87,54,33
JUMBO BAG 50'S CHRISTMAS ,672,3.7289828533377727,22135.83,0.24526631914401983,Others,83,55,28
RECIPE BOX PANTRY YELLOW DESIGN,1027,5.698906830919483,22133.050000000003,0.24523551657789872,Others,20,56,-36
RED HANGING HEART T-LIGHT HOLDER,704,3.9065534654014757,21828.24,0.24185820356373622,Others,69,57,12
CREAM SWEETHEART MINI CHEST,493,2.7356972421064314,21825.3,0.24182562818805417,Others,157,58,99
RED  HARMONICA IN BOX ,553,3.0686421397258754,21541.38,0.23867977762219014,Others,125,59,66
DOORMAT HEARTS,563,3.124132955995783,21363.97,0.23671406422091537,Others,122,60,62
RED WOOLLY HOTTIE WHITE HEART.,411,2.2806725486931914,21269.88,0.23567154139849303,Others,230,61,169
JUMBO BAG PINK VINTAGE PAISLEY,815,4.5225015259974475,21169.24,0.2345564441846703,Others,48,62,-14
EDWARDIAN PARASOL NATURAL,490,2.719049997225459,21162.12,0.234477554159209,Others,160,63,97
WOODEN FRAME ANTIQUE WHITE ,942,5.22723489262527,21072.890000000003,0.23348888042719987,Others,28,64,-36
JUMBO BAG OWLS,617,3.4237833638532824,20958.5,0.23222143239173496,Others,101,65,36
REGENCY TEAPOT ROSES ,355,1.9699239775817101,20739.48,0.22979467770402173,Others,307,66,241
BAKING SET 9 PIECE RETROSPOT ,789,4.378225403695688,20313.02,0.22506947542056732,Others,53,67,-14
LUNCH BAG  BLACK SKULL.,1216,6.7476832584207305,20259.46,0.2244760274200472,Volume Drivers,9,68,-59
SET OF 6 SPICE TINS PANTRY DESIGN,770,4.272792852782865,20211.510000000002,0.22394473855475708,Others,56,69,-13
WHITE SKULL HOT WATER BOTTLE ,480,2.663559180955552,20209.95,0.223927453661538,Others,167,70,97
JUMBO BAG VINTAGE LEAF,816,4.528050607624438,20118.49,0.22291407139627342,Others,46,71,-25
GREEN REGENCY TEACUP AND SAUCER,932,5.171744076355363,20073.5,0.2224155795078604,Others,29,72,-43
SET OF TEA COFFEE SUGAR TINS PANTRY,396,2.1974363242883306,20071.07,0.22238865496265384,Others,247,73,174
JAM MAKING SET PRINTED,1008,5.593474280006659,19894.93,0.2204370132372689,Others,22,74,-52
DOORMAT FANCY FONT HOME SWEET HOME,462,2.5636757116697186,19536.49,0.21646547661840335,Others,178,75,103
ANTIQUE SILVER T-LIGHT GLASS,676,3.7511791798457357,19156.62,0.2122564943189712,Others,80,76,4
PAPER BUNTING RETROSPOT,708,3.9287497919094387,19148.31,0.2121644190224006,Others,67,77,-10
PICNIC BASKET WICKER LARGE,429,2.3805560179790244,18954.01,0.21001156341185048,Others,207,78,129
LUNCH BOX I LOVE LONDON,650,3.6069030575439767,18761.3,0.2078763250963121,Others,89,79,10
RED RETROSPOT CHARLOTTE BAG,903,5.010820709172632,18539.09,0.2054142250179779,Others,34,80,-46
LUNCH BAG CARS BLUE,1065,5.909771932745131,18372.28,0.20356596025011447,Others,17,81,-64
COOK WITH WINE METAL SIGN ,689,3.8233172409966154,18298.920000000002,0.20275312706642973,Others,75,82,-7
FAIRY CAKE FLANNEL ASSORTED COLOUR,235,1.304034182342822,17535.070000000003,0.19428962342196918,Others,584,83,501
HOT WATER BOTTLE I AM SO POORLY,635,3.5236668331391154,17436.510000000002,0.19319757273243846,Others,92,84,8
RETROSPOT TEA SET CERAMIC 11 PC ,813,4.511403362743466,17187.01,0.19043309782336867,Others,50,85,-35
LUNCH BAG APPLE DESIGN,915,5.0774096886965205,17039.98,0.18880399663747482,Others,31,86,-55
COLOUR GLASS. STAR T-LIGHT HOLDER,256,1.4205648965096276,16843.25,0.18662421648171815,Others,517,87,430
HAND WARMER OWL DESIGN,629,3.490372343377171,16722.030000000002,0.18528109163812126,Others,95,88,7
JUMBO BAG WOODLAND ANIMALS,735,4.078574995838189,16564.56,0.1835363146283769,Others,62,89,-27
ASSORTED COLOURS SILK FAN,495,2.746795405360413,16539.920000000002,0.18326330195599427,Others,154,90,64
GROW A FLYTRAP OR SUNFLOWER IN TIN,274,1.5204483657954608,16426.010000000002,0.18200117234921215,Others,468,91,377
ALARM CLOCK BAKELIKE PINK,656,3.6401975473059207,16307.9,0.18069250649145574,Others,86,92,-6
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,635,3.5236668331391154,16282.91,0.1804156157981585,Others,92,93,-1
LUNCH BAG SUKI DESIGN ,1021,5.665612341157539,16242.83,0.17997152700314642,Others,21,94,-73
HOT BATHS METAL SIGN,598,3.3183508129404586,16204.660000000002,0.17954860112226792,Others,108,95,13
HOME BUILDING BLOCK WORD,748,4.150713056989068,16102.07,0.17841189779192135,Others,60,96,-36
GARDENERS KNEELING PAD KEEP CALM ,898,4.983075301037678,16020.45,0.17750754331465377,Others,35,97,-62
HOMEMADE JAM SCENTED CANDLES,588,3.2628599966705507,15877.949999999999,0.1759286347994536,Others,112,98,14
KNITTED UNION FLAG HOT WATER BOTTLE,448,2.485988568891848,15837.79,0.17548365959966106,Others,196,99,97
SMALL POPCORN HOLDER,549,3.0464458132179124,15824.4,0.175335297599531,Others,129,100,29
PACK OF 72 RETROSPOT CAKE CASES,1129,6.264913156872537,15754.07,0.17455603699690628,Others,14,101,-87
HAND OVER THE CHOCOLATE   SIGN ,668,3.7067865268298097,15604.130000000001,0.17289469283712305,Others,84,102,-18
PINK REGENCY TEACUP AND SAUCER,702,3.8954553021474942,15403.660000000002,0.17067347325787974,Others,70,103,-33
VINTAGE CHRISTMAS BUNTING,387,2.1474945896454134,15299.11,0.16951505301041184,Others,259,104,155
HANGING HEART JAR T-LIGHT HOLDER,690,3.8288663226236057,15194.85,0.16835984598027312,Others,74,105,-31
PAPER CHAIN KIT EMPIRE,432,2.3972032628599966,14963.67,0.16579835776592947,Others,204,106,98
SET/4 WHITE RETRO STORAGE CUBES ,146,0.8101659175406469,14935.300000000001,0.1654840164706577,Others,1019,107,912
RETROSPOT HEART HOT WATER BOTTLE,568,3.151878364130736,14880.58,0.16487771560082085,Others,121,108,13
RECYCLING BAG RETROSPOT ,710,3.9398479551634202,14878.59,0.16485566628190682,Others,66,109,-43
WOOD 2 DRAWER CABINET WHITE FINISH,534,2.9632095888130516,14864.12,0.16469533781724052,Others,138,110,28
SET/5 RED RETROSPOT LID GLASS BOWLS,816,4.528050607624438,14819.400000000001,0.1641998375449616,Others,46,111,-65
JUMBO BAG DOILEY PATTERNS,472,2.619166527939626,14776.51,0.16372461378203573,Others,174,112,62
RED RETROSPOT CAKE STAND,454,2.5192830586537927,14776.05,0.16371951695454803,Others,186,113,73
JUMBO BAG SPACEBOY DESIGN,622,3.451528771988236,14632.35,0.16212731236764097,Others,99,114,-15
SET OF 4 PANTRY JELLY MOULDS,1000,5.549081626990733,14387.43,0.15941358413225276,Others,25,115,-90
LUNCH BAG PINK POLKADOT,1006,5.582376116752678,14146.14,0.15674007651377805,Others,23,116,-93
EDWARDIAN PARASOL BLACK,321,1.7812552022640253,14101.87,0.15624956226838924,Others,367,117,250
6 RIBBONS RUSTIC CHARM,855,4.744464791077077,13998.37,0.15510277608366493,Others,41,118,-77
HAND WARMER SCOTTY DOG DESIGN,536,2.974307752067033,13824.420000000002,0.15317539968914518,Others,137,119,18
AMAZON FEE,2,0.011098163253981465,13761.09,0.15247369950481096,Others,3762,120,3642
RED TOADSTOOL LED NIGHT LIGHT,659,3.6568447921868934,13441.23,0.1489296315913238,Others,85,121,-36
LUNCH BAG SPACEBOY DESIGN ,1038,5.759946728816381,13399.66,0.14846903350727558,Others,19,122,-103
LUNCH BAG WOODLAND,870,4.827701015481938,13308.93,0.14746373968563273,Others,39,123,-84
HAND WARMER BIRD DESIGN,538,2.9854059153210146,13214.090000000002,0.14641290681839358,Others,135,124,11
JUMBO BAG VINTAGE CHRISTMAS ,457,2.5359303035347653,13175.83,0.145988983732137,Others,184,125,59
WOODLAND CHARLOTTE BAG,681,3.7789245879806894,13167.0,0.1458911468044934,Others,79,126,-47
3 HOOK PHOTO SHELF ANTIQUE WHITE,363,2.014316630597636,13110.31,0.1452630182169376,Others,297,127,170
PINK BLUE FELT CRAFT TRINKET BOX,492,2.7301481604794406,12968.710000000001,0.14369408175551768,Others,158,128,30
JUMBO STORAGE BAG SKULLS,684,3.795571832861661,12965.29,0.14365618795115287,Others,78,129,-51
CHRISTMAS LIGHTS 10 REINDEER,288,1.598135508573331,12962.92,0.14362992820953166,Others,433,130,303
GUMBALL COAT RACK,572,3.174074690638699,12962.77,0.1436282662005683,Others,118,131,-13
PAPER CHAIN KIT RETROSPOT,580,3.2184673436546256,12957.54,0.14357031748804552,Others,115,132,-17
MEMO BOARD RETROSPOT  DESIGN,420,2.330614283336108,12916.75,0.1431183618506068,Others,223,133,90
IVORY KITCHEN SCALES,602,3.3405471394484216,12821.46,0.14206254295647752,Others,106,134,-28
DOORMAT ENGLISH ROSE ,371,2.058709283613562,12767.6,0.14146577093803067,Others,285,135,150
LOVE HOT WATER BOTTLE,455,2.524832140280784,12709.970000000001,0.14082722709430445,Others,185,136,49
WOODEN UNION JACK BUNTING,401,2.225181732423284,12661.35,0.14028851458897793,Others,241,137,104
BOX OF VINTAGE ALPHABET BLOCKS,237,1.3151323455968038,12569.61,0.1392720299069817,Others,577,138,439
JUMBO BAG PEARS,548,3.0408967315909217,12514.2,0.13865808379591335,Others,130,139,-9
STRAWBERRY CERAMIC TRINKET BOX,641,3.5569613229010604,12402.09,0.13741589829669168,Others,91,140,-49
SET 7 BABUSHKA NESTING BOXES,340,1.8866877531768491,12369.67,0.13705668275940894,Others,334,141,193
WORLD WAR 2 GLIDERS ASSTD DESIGNS,483,2.680206425836524,12309.88,0.13639420598661023,Others,165,142,23
WOODEN ROUNDERS GARDEN SET ,343,1.9033349980578214,12175.02,0.13489994912794434,Others,327,143,184
TEA TIME PARTY BUNTING,450,2.4970867321458297,12149.12,0.13461297558026936,Others,191,144,47
BLACK HEART CARD HOLDER,186,1.0321291826202763,12089.45,0.13395182841464134,Others,795,145,650
LOVE BUILDING BLOCK WORD,607,3.368292547583375,11917.11,0.1320422909163284,Others,104,146,-42
ENAMEL FLOWER JUG CREAM,474,2.6302646911936076,11808.560000000001,0.13083955042983736,Others,172,147,25
GREY HEART HOT WATER BOTTLE,532,2.9521114255590697,11722.58,0.12988688689203445,Others,140,148,-8
FELTCRAFT 6 FLOWER FRIENDS,517,2.868875201154209,11712.48,0.129774978288501,Others,145,149,-4
SET 6 SCHOOL MILK BOTTLES IN CRATE,385,2.1363964263914323,11711.59,0.12976511703531834,Others,263,150,113
ENAMEL BREAD BIN CREAM,436,2.4193995893679596,11701.93,0.1296580836580774,Others,203,151,52
GARDENERS KNEELING PAD CUP OF TEA ,750,4.16181122024305,11617.69,0.12872469942424963,Others,59,152,-93
FELTCRAFT CUSHION OWL,448,2.485988568891848,11573.8,0.12823839560156797,Others,196,153,43
WOOD S/3 CABINET ANT WHITE FINISH,393,2.180789079407358,11553.48,0.1280132487873303,Others,252,154,98
STRAWBERRY CHARLOTTE BAG,673,3.734531934964763,11459.0,0.12696640474160323,Others,81,155,-74
DOUGHNUT LIP GLOSS ,307,1.703568059486155,11405.77,0.1263766131608025,Others,387,156,231
DOORMAT WELCOME PUPPIES,257,1.4261139781366183,11355.22,0.12581651614014727,Others,514,157,357
PAPER BUNTING WHITE LACE,312,1.7313134676211088,11349.980000000001,0.12575845662702695,Others,379,158,221
VINTAGE SNAP CARDS,875,4.8554464236168915,11275.109999999999,0.12492889255311089,Others,38,159,-121
SPACEBOY LUNCH BOX ,701,3.889906220520504,11269.67,0.1248686170280394,Others,71,160,-89
LUNCH BAG ALPHABET DESIGN,688,3.817768159369624,11266.5,0.12483349323861356,Others,76,161,-85
"RECORD FRAME 7"" SINGLE SIZE ",355,1.9699239775817101,11247.46,0.12462252890086328,Others,307,162,145
Adjust bad debt,1,0.005549081626990733,11062.06,0.12256828582213974,Others,3920,163,3757
DOORMAT SPOTTY HOME SWEET HOME,427,2.369457854725043,11041.11,0.12233615857025594,Others,213,164,49
PICNIC BASKET WICKER SMALL,450,2.4970867321458297,10979.22,0.12165041367197005,Others,191,165,26
IVORY DINER WALL CLOCK,380,2.1086510182564786,10889.95,0.12066129673757063,Others,274,166,108
3 HEARTS HANGING DECORATION RUSTIC,298,1.6536263248432386,10871.28,0.12045443202193004,Others,407,167,240
JUMBO BAG PAISLEY PARK,320,1.7757061206370346,10847.35,0.12018928619197397,Others,370,168,202
FELTCRAFT DOLL MOLLY,296,1.6425281615892569,10783.74,0.11948448359090813,Others,412,169,243
SOLDIERS EGG CUP ,408,2.264025303812219,10728.31,0.11887031587864466,Others,234,170,64
ASSORTED COLOUR MINI CASES,306,1.6980189778591641,10620.67,0.11767765824653138,Others,391,171,220
FELTCRAFT CUSHION RABBIT,368,2.0420620387325896,10578.66,0.11721218493619062,Others,291,172,119
SET/3 RED GINGHAM ROSE STORAGE BOX,426,2.363908773098052,10552.68,0.11692432498373519,Others,215,173,42
CLASSIC METAL BIRDCAGE PLANT HOLDER,267,1.4816047944065258,10398.57,0.1152167769747703,Others,485,174,311
JUMBO BAG TOYS ,506,2.8078353032573107,10363.3,0.11482598326718357,Others,151,175,-24
BREAD BIN DINER STYLE IVORY,299,1.6591754064702293,10340.439999999999,0.1145726931011662,Others,405,176,229
ANTIQUE SILVER TEA GLASS ENGRAVED,344,1.908884079684812,10252.27,0.11359576423249816,Others,324,177,147
DOORMAT BLACK FLOCK ,190,1.0543255091282393,10122.210000000001,0.11215469166066007,Others,777,178,599
RED DINER WALL CLOCK,419,2.3250652017091173,10090.77,0.11180633458193799,Others,224,179,45
ALARM CLOCK BAKELIKE IVORY,524,2.907718772543144,10068.15,0.111555703630262,Others,144,180,-36
DOORMAT WELCOME TO OUR HOME,390,2.1641418345263856,10046.26,0.11131316112220775,Others,256,181,75
WOODEN CROQUET GARDEN SET,269,1.4927029576605073,10043.36,0.11128102894891598,Others,479,182,297
PACK OF 60 PINK PAISLEY CAKE CASES,781,4.333832750679763,9994.47,0.11073932482745535,Others,55,183,-128
HAND WARMER UNION JACK,476,2.641362854447589,9981.720000000001,0.11059805406556905,Others,171,184,-13
PINK HAPPY BIRTHDAY BUNTING,355,1.9699239775817101,9952.5,0.11027429471950484,Others,307,185,122
COLOUR GLASS T-LIGHT HOLDER HANGING,596,3.307252649686477,9921.85,0.10993469088798986,Others,109,186,-77
VINTAGE DOILY JUMBO BAG RED ,240,1.331779590477776,9802.89,0.10861660697944102,Others,571,187,384
REGENCY SUGAR BOWL GREEN,256,1.4205648965096276,9796.18,0.10854225977847969,Others,517,188,329
CHARLOTTE BAG PINK POLKADOT,673,3.734531934964763,9789.24,0.1084653641637745,Others,81,189,-108
CLOTHES PEGS RETROSPOT PACK 24 ,687,3.812219077742634,9787.44,0.10844542005621408,Others,77,190,-113
RED KITCHEN SCALES,453,2.513733977026802,9786.3,0.10843278878809245,Others,188,191,-3
T-LIGHT GLASS FLUTED ANTIQUE,333,1.847844181787914,9756.380000000001,0.10810127340019923,Others,344,192,152
NO SINGING METAL SIGN,481,2.669108262582543,9745.86,0.1079847111715683,Others,166,193,-27
FAMILY ALBUM WHITE PICTURE FRAME,344,1.908884079684812,9636.86,0.10677698465818714,Others,324,194,130
SET OF 10 LED DOLLY LIGHTS,288,1.598135508573331,9622.36,0.10661632379172818,Others,433,195,238
SMALL GLASS HEART TRINKET POT,529,2.9354641806780974,9609.980000000001,0.10647915265195151,Others,142,196,-54
15CM CHRISTMAS GLASS BALL 20 LIGHTS,243,1.348426835358748,9607.710000000001,0.10645400091630584,Others,562,197,365
LONDON BUS COFFEE MUG,295,1.636979079962266,9606.9,0.10644502606790365,Others,417,198,219
METAL SIGN TAKE IT OR LEAVE IT ,371,2.058709283613562,9566.390000000001,0.1059961728471966,Others,285,199,86
CHILDRENS CUTLERY RETROSPOT RED ,268,1.4871538760335166,9557.93,0.1059024355416626,Others,482,200,282
FELTCRAFT CUSHION BUTTERFLY,329,1.825647855279951,9499.25,0.10525225763519279,Others,357,201,156
LUNCH BAG VINTAGE LEAF DESIGN,623,3.4570778536152265,9485.11,0.10509558559024593,Others,97,202,-105
TRADITIONAL WOODEN SKIPPING ROPE,387,2.1474945896454134,9408.46,0.10424629900996459,Others,259,203,56
POTTERING IN THE SHED METAL SIGN,533,2.957660507186061,9289.02,0.10292289667273298,Others,139,204,-65
SET OF 6 RIBBONS VINTAGE CHRISTMAS,384,2.1308473447644416,9286.22,0.10289187250541675,Others,267,205,62
MINI PAINT SET VINTAGE ,273,1.51489928416847,9265.57,0.10266306927145968,Others,472,206,266
NATURAL SLATE CHALKBOARD LARGE ,462,2.5636757116697186,9247.57,0.10246362819585546,Others,178,207,-29
DOORMAT HOME SWEET HOME BLUE ,252,1.3983685700016648,9172.7,0.10163406412193943,Others,531,208,323
SWEETHEART CAKESTAND 3 TIER,356,1.9754730592087009,9122.6,0.10107895312817432,Others,305,209,96
VINTAGE CREAM DOG FOOD CONTAINER,392,2.175239997780367,9119.02,0.1010392865142486,Others,254,210,44
DOLLY GIRL LUNCH BOX,699,3.8788080572665224,9039.789999999999,0.1001614133797973,Others,72,211,-139
BAKING SET SPACEBOY DESIGN,401,2.225181732423284,8961.85,0.09929783352243099,Others,241,212,29
LADIES & GENTLEMEN METAL SIGN,461,2.558126630042728,8960.13,0.09927877581965103,Others,180,213,-33
VINTAGE HEADS AND TAILS CARD GAME ,551,3.057543976471894,8954.05,0.09921140905633581,Others,127,214,-87
CHRISTMAS CRAFT LITTLE FRIENDS,505,2.80228622163032,8948.18,0.09914636910556936,Others,152,215,-63
LUNCH BAG VINTAGE DOILY ,545,3.0242494867099494,8923.8,0.09887623724872316,Others,131,216,-85
PHOTO FRAME CORNICE,477,2.64691193607458,8914.390000000001,0.0987719738864212,Others,170,217,-47
POSTAGE,52,0.28855224460351814,8906.94,0.09868942744124054,Others,2088,218,1870
DOORMAT MULTICOLOUR STRIPE,192,1.0654236723822208,8821.93,0.0977475115614008,Others,767,219,548
TRADITIONAL KNITTING NANCY,572,3.174074690638699,8763.5,0.09710010366986994,Others,118,220,-102
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,421,2.336163364963099,8705.44,0.09645679540044877,Others,221,221,0
REGENCY TEA PLATE ROSES ,381,2.1142000998834694,8685.55,0.09623641301190608,Others,270,222,48
CHILDRENS CUTLERY POLKADOT PINK,342,1.8977859164308306,8680.82,0.09618400432926119,Others,328,223,105
AREA PATROLLED METAL SIGN,427,2.369457854725043,8596.29,0.09524740687810423,Others,213,224,-11
REGENCY TEA PLATE GREEN ,336,1.8644914266688863,8584.09,0.09511223014908358,Others,341,225,116
ZINC FOLKART SLEIGH BELLS,428,2.3750069363520336,8575.73,0.09501960084952517,Others,210,226,-16
RED RETROSPOT PEG BAG,459,2.5470284667887464,8567.0,0.09492287192785713,Others,182,227,-45
SET/20 RED RETROSPOT PAPER NAPKINS ,840,4.661228566672216,8552.86,0.09476619988291024,Others,43,228,-185
BLUE HAPPY BIRTHDAY BUNTING,337,1.870040508295877,8549.800000000001,0.09473229490005754,Others,339,229,110
LARGE WHITE HEART OF WICKER,552,3.0630930580988847,8528.410000000002,0.09449529242188118,Others,126,230,-104
HAND WARMER RED LOVE HEART,386,2.141945508018423,8512.01,0.0943135794418862,Others,261,231,30
RED RETROSPOT PICNIC BAG,450,2.4970867321458297,8476.64,0.09392167772832388,Others,191,232,-41
TRADITIONAL MODELLING CLAY,367,2.036512957105599,8419.12,0.09328435269117083,Others,292,233,59
LUNCH BAG DOILEY PATTERN ,440,2.4415959158759226,8409.74,0.0931804217306615,Others,201,234,-33
PINK CREAM FELT CRAFT TRINKET BOX ,592,3.2850563231785137,8363.67,0.09266996337771224,Others,111,235,-124
MULTI COLOUR SILVER T-LIGHT HOLDER,326,1.809000610398979,8320.59,0.0921926344034328,Others,361,236,125
SMALL WHITE HEART OF WICKER,613,3.4015870373453194,8230.72,0.09119686943317988,Others,103,237,-134
RED METAL BOX TOP SECRET,231,1.2818378558348593,8221.37,0.09109327087446327,Others,599,238,361
FELTCRAFT BUTTERFLY HEARTS,461,2.558126630042728,8050.24,0.08919714024845482,Others,180,239,-59
ALARM CLOCK BAKELIKE ORANGE,397,2.2029854059153213,8022.7,0.08889199540278035,Others,245,240,5
BOX OF 6 MINI 50'S CRACKERS,361,2.003218467343655,7991.240000000001,0.0885434167228632,Others,299,241,58
DELUXE SEWING KIT ,298,1.6536263248432386,7979.1,0.0884089047974279,Others,407,242,165
FAWN BLUE HOT WATER BOTTLE,405,2.247378058931247,7976.030000000001,0.08837488901397762,Others,238,243,-5
60 CAKE CASES VINTAGE CHRISTMAS,581,3.224016425281616,7974.92,0.08836259014764869,Others,114,244,-130
FAMILY PHOTO FRAME CORNICE,246,1.3650740802397203,7970.04,0.08830851945604043,Others,550,245,305
CHICK GREY HOT WATER BOTTLE,378,2.097552855002497,7957.77,0.08817256712283689,Others,277,246,31
HANGING JAM JAR T-LIGHT HOLDER,330,1.8311969369069419,7909.84,0.08764149985874184,Others,355,247,108
BOX OF 6 MINI VINTAGE CRACKERS,347,1.9255313245657844,7841.03,0.0868790809469459,Others,320,248,72
REGENCY MILK JUG PINK ,271,1.5038011209144886,7827.9,0.08673359976235237,Others,476,249,227
RED RETROSPOT ROUND CAKE TINS,297,1.6480772432162478,7824.59,0.0866969247645607,Others,409,250,159
WHITE METAL LANTERN,296,1.6425281615892569,7824.0199999999995,0.0866906091304999,Others,412,251,161
WOODEN SCHOOL COLOURING SET,388,2.153043671272404,7799.5199999999995,0.08641914766648304,Others,257,252,5
RED RETROSPOT UMBRELLA,312,1.7313134676211088,7775.81,0.08615643944967324,Others,379,253,126
HAND WARMER RED RETROSPOT,358,1.9865712224626826,7757.630000000001,0.08595500396331299,Others,301,254,47
