item,utility,twu,utility_percent,frequency,frequency_percent,support,category
ROTATING SILVER ANGELS T-LIGHT HLDR,25439.17999999994,863757.6600000007,0.2818676345383105,428,2.3750069363520336,0.023750069363520337,Stars (High Utility + High Freq)
GIN + TONIC DIET METAL SIGN,24987.329999999834,732077.4800000004,0.27686110953765536,731,4.056378669330226,0.04056378669330226,Stars (High Utility + High Freq)
ROSES REGENCY TEACUP AND SAUCER ,24390.52000000028,1258511.8999999983,0.270248419074807,956,5.304922035403141,0.05304922035403141,Stars (High Utility + High Freq)
ALARM CLOCK BAKELIKE GREEN,24218.27999999997,1210549.8000000005,0.2683399895824662,876,4.860995505243882,0.04860995505243882,Stars (High Utility + High Freq)
DOORMAT UNION FLAG,24114.849999999995,547396.8899999999,0.26719397900192504,580,3.2184673436546256,0.032184673436546254,Stars (High Utility + High Freq)
VINTAGE UNION JACK BUNTING,24058.32999999999,434643.9300000004,0.2665677340245277,464,2.5747738749237,0.025747738749237,Stars (High Utility + High Freq)
DOORMAT RED RETROSPOT,23998.940000000006,754964.1410000004,0.2659096892756315,623,3.4570778536152265,0.034570778536152265,Stars (High Utility + High Freq)
PLEASE ONE PERSON METAL SIGN,23534.080000000056,743062.8400000003,0.2607590126975553,815,4.5225015259974475,0.04522501525997447,Stars (High Utility + High Freq)
DOORMAT FAIRY CAKE,23112.859999999997,465354.42000000016,0.25609186992722055,335,1.8589423450418956,0.018589423450418956,Stars (High Utility + High Freq)
CREAM HEART CARD HOLDER,23052.67,567194.6700000006,0.2554249611305195,504,2.7967371400033296,0.027967371400033296,Stars (High Utility + High Freq)
DOORMAT NEW ENGLAND,22934.73999999999,564127.2919999997,0.25411828968351907,562,3.118583874368792,0.03118583874368792,Stars (High Utility + High Freq)
VINTAGE UNION JACK MEMOBOARD,22880.740000000093,215706.70099999986,0.2535199664567075,214,1.1875034681760168,0.011875034681760169,Stars (High Utility + High Freq)
SCOTTIE DOG HOT WATER BOTTLE,22831.490000000067,908439.8699999999,0.2529742735137345,734,4.073025914211198,0.04073025914211198,Stars (High Utility + High Freq)
SET OF 3 REGENCY CAKE TINS,22632.24999999995,908710.2499999985,0.2507666824079895,726,4.028633261195272,0.04028633261195272,Stars (High Utility + High Freq)
WOODEN PICTURE FRAME WHITE FINISH,22410.210000000057,997404.3610000013,0.24830646593981498,1076,5.970811830642029,0.05970811830642029,Stars (High Utility + High Freq)
JUMBO BAG VINTAGE DOILY ,22194.119999999864,732423.9600000003,0.24591217582718405,655,3.6346484656789304,0.0363464846567893,Stars (High Utility + High Freq)
JUMBO BAG 50'S CHRISTMAS ,22135.829999999907,840459.1500000003,0.24526631914401953,672,3.7289828533377727,0.03728982853337773,Stars (High Utility + High Freq)
RECIPE BOX PANTRY YELLOW DESIGN,22133.05000000021,1363806.2700000005,0.2452355165779018,1027,5.698906830919483,0.056989068309194826,Stars (High Utility + High Freq)
RED HANGING HEART T-LIGHT HOLDER,21828.24000000014,565289.1100000005,0.2418582035637385,704,3.9065534654014757,0.03906553465401476,Stars (High Utility + High Freq)
CREAM SWEETHEART MINI CHEST,21825.299999999977,477616.0810000001,0.24182562818805467,493,2.7356972421064314,0.027356972421064312,Stars (High Utility + High Freq)
RED  HARMONICA IN BOX ,21541.379999999976,753511.2200000004,0.23867977762219061,553,3.0686421397258754,0.030686421397258752,Stars (High Utility + High Freq)
DOORMAT HEARTS,21363.97000000001,611209.2800000003,0.23671406422091615,563,3.124132955995783,0.03124132955995783,Stars (High Utility + High Freq)
RED WOOLLY HOTTIE WHITE HEART.,21269.88,671783.1100000007,0.23567154139849375,411,2.2806725486931914,0.02280672548693191,Stars (High Utility + High Freq)
JUMBO BAG PINK VINTAGE PAISLEY,21169.239999999914,1050420.1700000009,0.23455644418467003,815,4.5225015259974475,0.04522501525997447,Stars (High Utility + High Freq)
EDWARDIAN PARASOL NATURAL,21162.119999999948,591929.81,0.23447755415920918,490,2.719049997225459,0.027190499972254593,Stars (High Utility + High Freq)
WOODEN FRAME ANTIQUE WHITE ,21072.8900000002,837235.200000001,0.23348888042720278,942,5.22723489262527,0.0522723489262527,Stars (High Utility + High Freq)
JUMBO BAG OWLS,20958.49999999994,830378.3399999994,0.23222143239173504,617,3.4237833638532824,0.034237833638532826,Stars (High Utility + High Freq)
REGENCY TEAPOT ROSES ,20739.480000000007,481168.80000000005,0.2297946777040225,355,1.9699239775817101,0.019699239775817102,Stars (High Utility + High Freq)
BAKING SET 9 PIECE RETROSPOT ,20313.02000000006,641022.350000001,0.22506947542056868,789,4.378225403695688,0.04378225403695688,Stars (High Utility + High Freq)
LUNCH BAG  BLACK SKULL.,20259.459999999955,1209016.3199999968,0.22447602742004738,1216,6.7476832584207305,0.06747683258420731,Stars (High Utility + High Freq)
SET OF 6 SPICE TINS PANTRY DESIGN,20211.50999999999,847825.7100000003,0.22394473855475763,770,4.272792852782865,0.04272792852782865,Stars (High Utility + High Freq)
WHITE SKULL HOT WATER BOTTLE ,20209.950000000015,747444.1899999995,0.22392745366153888,480,2.663559180955552,0.02663559180955552,Stars (High Utility + High Freq)
JUMBO BAG VINTAGE LEAF,20118.48999999986,735063.0599999999,0.22291407139627253,816,4.528050607624438,0.045280506076244384,Stars (High Utility + High Freq)
GREEN REGENCY TEACUP AND SAUCER,20073.500000000226,1287962.809999999,0.2224155795078636,932,5.171744076355363,0.05171744076355363,Stars (High Utility + High Freq)
SET OF TEA COFFEE SUGAR TINS PANTRY,20071.06999999999,548550.9300000003,0.2223886549626544,396,2.1974363242883306,0.021974363242883304,Stars (High Utility + High Freq)
JAM MAKING SET PRINTED,19894.930000000117,1409699.1200000015,0.22043701323727086,1008,5.593474280006659,0.05593474280006659,Stars (High Utility + High Freq)
DOORMAT FANCY FONT HOME SWEET HOME,19536.489999999998,683599.2710000001,0.216465476618404,462,2.5636757116697186,0.025636757116697186,Stars (High Utility + High Freq)
ANTIQUE SILVER T-LIGHT GLASS,19156.619999999966,825707.22,0.21225649431897148,676,3.7511791798457357,0.03751179179845736,Stars (High Utility + High Freq)
PAPER BUNTING RETROSPOT,19148.31000000011,779233.7100000001,0.21216441902240246,708,3.9287497919094387,0.03928749791909439,Stars (High Utility + High Freq)
PICNIC BASKET WICKER LARGE,18954.010000000075,452353.65000000014,0.21001156341185198,429,2.3805560179790244,0.023805560179790245,Stars (High Utility + High Freq)
LUNCH BOX I LOVE LONDON,18761.299999999977,919548.5300000005,0.2078763250963125,650,3.6069030575439767,0.03606903057543977,Stars (High Utility + High Freq)
RED RETROSPOT CHARLOTTE BAG,18539.09000000001,1246158.9799999984,0.20541422501797868,903,5.010820709172632,0.050108207091726316,Stars (High Utility + High Freq)
LUNCH BAG CARS BLUE,18372.279999999944,1098919.2599999993,0.20356596025011447,1065,5.909771932745131,0.05909771932745131,Stars (High Utility + High Freq)
COOK WITH WINE METAL SIGN ,18298.919999999896,661867.0000000005,0.20275312706642917,689,3.8233172409966154,0.038233172409966154,Stars (High Utility + High Freq)
FAIRY CAKE FLANNEL ASSORTED COLOUR,17535.069999999996,363552.5700000004,0.1942896234219697,235,1.304034182342822,0.013040341823428222,Stars (High Utility + High Freq)
HOT WATER BOTTLE I AM SO POORLY,17436.510000000006,916942.1599999997,0.1931975727324391,635,3.5236668331391154,0.035236668331391156,Stars (High Utility + High Freq)
RETROSPOT TEA SET CERAMIC 11 PC ,17187.010000000133,794457.4199999993,0.19043309782337076,813,4.511403362743466,0.04511403362743466,Stars (High Utility + High Freq)
LUNCH BAG APPLE DESIGN,17039.979999999945,923531.9799999996,0.1888039966374748,915,5.0774096886965205,0.05077409688696521,Stars (High Utility + High Freq)
COLOUR GLASS. STAR T-LIGHT HOLDER,16843.249999999975,334949.18,0.18662421648171845,256,1.4205648965096276,0.014205648965096277,Stars (High Utility + High Freq)
HAND WARMER OWL DESIGN,16722.030000000053,793336.3999999999,0.1852810916381224,629,3.490372343377171,0.03490372343377171,Stars (High Utility + High Freq)
JUMBO BAG WOODLAND ANIMALS,16564.559999999914,1005648.9700000001,0.18353631462837652,735,4.078574995838189,0.04078574995838189,Stars (High Utility + High Freq)
ASSORTED COLOURS SILK FAN,16539.919999999904,672477.720000001,0.18326330195599375,495,2.746795405360413,0.027467954053604127,Stars (High Utility + High Freq)
GROW A FLYTRAP OR SUNFLOWER IN TIN,16426.010000000002,363162.1700000003,0.1820011723492127,274,1.5204483657954608,0.015204483657954609,Stars (High Utility + High Freq)
ALARM CLOCK BAKELIKE PINK,16307.899999999985,896413.63,0.18069250649145613,656,3.6401975473059207,0.036401975473059206,Stars (High Utility + High Freq)
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,16282.909999999916,721799.9800000003,0.18041561579815815,635,3.5236668331391154,0.035236668331391156,Stars (High Utility + High Freq)
LUNCH BAG SUKI DESIGN ,16242.829999999936,891746.0200000003,0.17997152700314628,1021,5.665612341157539,0.05665612341157539,Stars (High Utility + High Freq)
HOT BATHS METAL SIGN,16204.660000000034,751276.5999999999,0.17954860112226886,598,3.3183508129404586,0.033183508129404585,Stars (High Utility + High Freq)
HOME BUILDING BLOCK WORD,16102.070000000032,633486.5200000013,0.17841189779192226,748,4.150713056989068,0.041507130569890686,Stars (High Utility + High Freq)
GARDENERS KNEELING PAD KEEP CALM ,16020.449999999968,1031681.2010000005,0.17750754331465393,898,4.983075301037678,0.04983075301037678,Stars (High Utility + High Freq)
HOMEMADE JAM SCENTED CANDLES,15877.94999999993,715165.4100000005,0.17592863479945337,588,3.2628599966705507,0.03262859996670551,Stars (High Utility + High Freq)
KNITTED UNION FLAG HOT WATER BOTTLE,15837.790000000028,704665.5200000006,0.17548365959966192,448,2.485988568891848,0.024859885688918483,Stars (High Utility + High Freq)
SMALL POPCORN HOLDER,15824.400000000043,553887.1399999997,0.17533529759953204,549,3.0464458132179124,0.030464458132179125,Stars (High Utility + High Freq)
PACK OF 72 RETROSPOT CAKE CASES,15754.070000000069,1430216.3310000016,0.17455603699690758,1129,6.264913156872537,0.06264913156872537,Stars (High Utility + High Freq)
HAND OVER THE CHOCOLATE   SIGN ,15604.130000000037,601420.8600000009,0.172894692837124,668,3.7067865268298097,0.0370678652682981,Stars (High Utility + High Freq)
PINK REGENCY TEACUP AND SAUCER,15403.6600000001,928404.7599999999,0.17067347325788138,702,3.8954553021474942,0.03895455302147494,Stars (High Utility + High Freq)
VINTAGE CHRISTMAS BUNTING,15299.110000000015,528488.4700000002,0.16951505301041253,387,2.1474945896454134,0.021474945896454135,Stars (High Utility + High Freq)
HANGING HEART JAR T-LIGHT HOLDER,15194.849999999975,783505.0000000009,0.16835984598027334,690,3.8288663226236057,0.03828866322623606,Stars (High Utility + High Freq)
PAPER CHAIN KIT EMPIRE,14963.670000000016,386544.85000000003,0.16579835776593016,432,2.3972032628599966,0.023972032628599968,Stars (High Utility + High Freq)
SET/4 WHITE RETRO STORAGE CUBES ,14935.30000000004,159237.16000000024,0.16548401647065863,146,0.8101659175406469,0.00810165917540647,Khác
RETROSPOT HEART HOT WATER BOTTLE,14880.580000000049,736606.3399999999,0.16487771560082187,568,3.151878364130736,0.03151878364130736,Stars (High Utility + High Freq)
RECYCLING BAG RETROSPOT ,14878.589999999978,1102808.88,0.1648556662819071,710,3.9398479551634202,0.039398479551634204,Stars (High Utility + High Freq)
WOOD 2 DRAWER CABINET WHITE FINISH,14864.119999999937,399408.47000000003,0.16469533781724033,534,2.9632095888130516,0.029632095888130514,Stars (High Utility + High Freq)
SET/5 RED RETROSPOT LID GLASS BOWLS,14819.400000000098,729644.951000001,0.16419983754496317,816,4.528050607624438,0.045280506076244384,Stars (High Utility + High Freq)
JUMBO BAG DOILEY PATTERNS,14776.50999999996,360562.52000000025,0.1637246137820358,472,2.619166527939626,0.02619166527939626,Stars (High Utility + High Freq)
RED RETROSPOT CAKE STAND,14776.050000000025,482988.0610000004,0.16371951695454884,454,2.5192830586537927,0.02519283058653793,Stars (High Utility + High Freq)
JUMBO BAG SPACEBOY DESIGN,14632.349999999902,697214.5000000002,0.16212731236764039,622,3.451528771988236,0.03451528771988236,Stars (High Utility + High Freq)
SET OF 4 PANTRY JELLY MOULDS,14387.429999999975,1210759.38,0.15941358413225296,1000,5.549081626990733,0.05549081626990733,Stars (High Utility + High Freq)
LUNCH BAG PINK POLKADOT,14146.139999999925,982162.6299999997,0.15674007651377772,1006,5.582376116752678,0.05582376116752678,Stars (High Utility + High Freq)
EDWARDIAN PARASOL BLACK,14101.869999999995,425460.49000000017,0.15624956226838965,321,1.7812552022640253,0.017812552022640253,Stars (High Utility + High Freq)
6 RIBBONS RUSTIC CHARM,13998.369999999966,1166346.7510000009,0.15510277608366502,855,4.744464791077077,0.04744464791077077,Stars (High Utility + High Freq)
HAND WARMER SCOTTY DOG DESIGN,13824.420000000047,725449.2800000004,0.15317539968914615,536,2.974307752067033,0.02974307752067033,Stars (High Utility + High Freq)
AMAZON FEE,13761.09,13761.09,0.15247369950481143,2,0.011098163253981465,0.00011098163253981466,"Hidden Gems (High Utility, Low Freq)"
RED TOADSTOOL LED NIGHT LIGHT,13441.229999999981,1089656.61,0.14892963159132405,659,3.6568447921868934,0.03656844792186893,Stars (High Utility + High Freq)
LUNCH BAG SPACEBOY DESIGN ,13399.65999999994,968569.0199999991,0.14846903350727536,1038,5.759946728816381,0.05759946728816381,Stars (High Utility + High Freq)
LUNCH BAG WOODLAND,13308.929999999928,991504.0699999996,0.14746373968563237,870,4.827701015481938,0.048277010154819375,Stars (High Utility + High Freq)
HAND WARMER BIRD DESIGN,13214.090000000044,746986.6699999999,0.14641290681839447,538,2.9854059153210146,0.029854059153210145,Stars (High Utility + High Freq)
JUMBO BAG VINTAGE CHRISTMAS ,13175.829999999949,657766.8700000006,0.1459889837321369,457,2.5359303035347653,0.02535930303534765,Stars (High Utility + High Freq)
WOODLAND CHARLOTTE BAG,13167.000000000005,1154156.2300000002,0.1458911468044939,681,3.7789245879806894,0.03778924587980689,Stars (High Utility + High Freq)
3 HOOK PHOTO SHELF ANTIQUE WHITE,13110.309999999987,330072.29099999997,0.1452630182169379,363,2.014316630597636,0.02014316630597636,Stars (High Utility + High Freq)
PINK BLUE FELT CRAFT TRINKET BOX,12968.709999999983,716309.8500000001,0.14369408175551793,492,2.7301481604794406,0.027301481604794408,Stars (High Utility + High Freq)
JUMBO STORAGE BAG SKULLS,12965.289999999954,836497.8300000003,0.14365618795115281,684,3.795571832861661,0.03795571832861661,Stars (High Utility + High Freq)
CHRISTMAS LIGHTS 10 REINDEER,12962.919999999998,478760.8500000004,0.14362992820953208,288,1.598135508573331,0.015981355085733312,Stars (High Utility + High Freq)
GUMBALL COAT RACK,12962.769999999973,612176.249999999,0.14362826620056843,572,3.174074690638699,0.031740746906386993,Stars (High Utility + High Freq)
PAPER CHAIN KIT RETROSPOT,12957.540000000054,872821.2810000005,0.14357031748804652,580,3.2184673436546256,0.032184673436546254,Stars (High Utility + High Freq)
MEMO BOARD RETROSPOT  DESIGN,12916.750000000015,527126.9910000002,0.1431183618506074,420,2.330614283336108,0.02330614283336108,Stars (High Utility + High Freq)
IVORY KITCHEN SCALES,12821.459999999983,611456.5000000003,0.1420625429564778,602,3.3405471394484216,0.033405471394484215,Stars (High Utility + High Freq)
DOORMAT ENGLISH ROSE ,12767.59999999998,335616.76999999996,0.14146577093803087,371,2.058709283613562,0.02058709283613562,Stars (High Utility + High Freq)
LOVE HOT WATER BOTTLE,12709.970000000025,415096.0299999999,0.14082722709430515,455,2.524832140280784,0.025248321402807836,Stars (High Utility + High Freq)
WOODEN UNION JACK BUNTING,12661.350000000024,402185.58000000025,0.14028851458897862,401,2.225181732423284,0.02225181732423284,Stars (High Utility + High Freq)
BOX OF VINTAGE ALPHABET BLOCKS,12569.609999999982,270886.34000000026,0.13927202990698193,237,1.3151323455968038,0.013151323455968037,Stars (High Utility + High Freq)
JUMBO BAG PEARS,12514.199999999932,586664.4900000005,0.13865808379591302,548,3.0408967315909217,0.030408967315909217,Stars (High Utility + High Freq)
STRAWBERRY CERAMIC TRINKET BOX,12402.089999999975,768205.6210000006,0.13741589829669182,641,3.5569613229010604,0.0355696132290106,Stars (High Utility + High Freq)
SET 7 BABUSHKA NESTING BOXES,12369.66999999998,448708.5800000004,0.13705668275940916,340,1.8866877531768491,0.01886687753176849,Stars (High Utility + High Freq)
WORLD WAR 2 GLIDERS ASSTD DESIGNS,12309.880000000021,514242.3700000003,0.13639420598661087,483,2.680206425836524,0.02680206425836524,Stars (High Utility + High Freq)
WOODEN ROUNDERS GARDEN SET ,12175.019999999984,332956.7700000005,0.13489994912794456,343,1.9033349980578214,0.019033349980578214,Stars (High Utility + High Freq)
TEA TIME PARTY BUNTING,12149.120000000019,374857.76000000024,0.13461297558026997,450,2.4970867321458297,0.024970867321458298,Stars (High Utility + High Freq)
BLACK HEART CARD HOLDER,12089.450000000006,252727.01999999993,0.13395182841464182,186,1.0321291826202763,0.010321291826202764,Stars (High Utility + High Freq)
LOVE BUILDING BLOCK WORD,11917.11000000001,485446.6000000002,0.1320422909163289,607,3.368292547583375,0.03368292547583375,Stars (High Utility + High Freq)
ENAMEL FLOWER JUG CREAM,11808.560000000032,328226.52999999997,0.1308395504298381,474,2.6302646911936076,0.026302646911936074,Stars (High Utility + High Freq)
GREY HEART HOT WATER BOTTLE,11722.579999999998,530776.8000000004,0.12988688689203484,532,2.9521114255590697,0.0295211142555907,Stars (High Utility + High Freq)
FELTCRAFT 6 FLOWER FRIENDS,11712.480000000041,543659.7299999999,0.12977497828850185,517,2.868875201154209,0.028688752011542088,Stars (High Utility + High Freq)
SET 6 SCHOOL MILK BOTTLES IN CRATE,11711.589999999986,558405.8500000006,0.12976511703531857,385,2.1363964263914323,0.021363964263914324,Stars (High Utility + High Freq)
ENAMEL BREAD BIN CREAM,11701.929999999982,492165.85,0.1296580836580776,436,2.4193995893679596,0.024193995893679595,Stars (High Utility + High Freq)
GARDENERS KNEELING PAD CUP OF TEA ,11617.689999999988,883455.3320000015,0.12872469942424988,750,4.16181122024305,0.041618112202430495,Stars (High Utility + High Freq)
FELTCRAFT CUSHION OWL,11573.799999999994,488272.71000000025,0.12823839560156827,448,2.485988568891848,0.024859885688918483,Stars (High Utility + High Freq)
WOOD S/3 CABINET ANT WHITE FINISH,11553.47999999995,251121.51100000006,0.12801324878733014,393,2.180789079407358,0.02180789079407358,Stars (High Utility + High Freq)
STRAWBERRY CHARLOTTE BAG,11459.000000000005,1013457.9800000006,0.12696640474160367,673,3.734531934964763,0.03734531934964763,Stars (High Utility + High Freq)
DOUGHNUT LIP GLOSS ,11405.76999999999,383939.9000000003,0.12637661316080276,307,1.703568059486155,0.01703568059486155,Stars (High Utility + High Freq)
DOORMAT WELCOME PUPPIES,11355.22,328528.30999999994,0.12581651614014766,257,1.4261139781366183,0.014261139781366184,Stars (High Utility + High Freq)
PAPER BUNTING WHITE LACE,11349.98,256571.84000000003,0.12575845662702734,312,1.7313134676211088,0.017313134676211088,Stars (High Utility + High Freq)
VINTAGE SNAP CARDS,11275.110000000046,1164444.9,0.12492889255311179,875,4.8554464236168915,0.048554464236168916,Stars (High Utility + High Freq)
SPACEBOY LUNCH BOX ,11269.669999999944,887767.9700000009,0.12486861702803917,701,3.889906220520504,0.03889906220520504,Stars (High Utility + High Freq)
LUNCH BAG ALPHABET DESIGN,11266.49999999996,742897.2799999996,0.1248334932386135,688,3.817768159369624,0.03817768159369624,Stars (High Utility + High Freq)
"RECORD FRAME 7"" SINGLE SIZE ",11247.46,480435.7000000002,0.12462252890086369,355,1.9699239775817101,0.019699239775817102,Stars (High Utility + High Freq)
Adjust bad debt,11062.06,11062.06,0.12256828582214012,1,0.005549081626990733,5.549081626990733e-05,"Hidden Gems (High Utility, Low Freq)"
DOORMAT SPOTTY HOME SWEET HOME,11041.109999999971,490179.25200000015,0.12233615857025598,427,2.369457854725043,0.02369457854725043,Stars (High Utility + High Freq)
PICNIC BASKET WICKER SMALL,10979.220000000045,485036.7300000003,0.12165041367197094,450,2.4970867321458297,0.024970867321458298,Stars (High Utility + High Freq)
IVORY DINER WALL CLOCK,10889.949999999995,335005.89,0.12066129673757096,380,2.1086510182564786,0.021086510182564785,Stars (High Utility + High Freq)
3 HEARTS HANGING DECORATION RUSTIC,10871.280000000022,423109.24100000015,0.12045443202193065,298,1.6536263248432386,0.016536263248432385,Stars (High Utility + High Freq)
JUMBO BAG PAISLEY PARK,10847.349999999975,432024.02000000037,0.12018928619197407,320,1.7757061206370346,0.017757061206370345,Stars (High Utility + High Freq)
FELTCRAFT DOLL MOLLY,10783.740000000034,358182.91000000015,0.11948448359090887,296,1.6425281615892569,0.01642528161589257,Stars (High Utility + High Freq)
SOLDIERS EGG CUP ,10728.309999999987,581837.9100000005,0.11887031587864488,408,2.264025303812219,0.022640253038122192,Stars (High Utility + High Freq)
ASSORTED COLOUR MINI CASES,10620.66999999997,223943.85999999984,0.11767765824653141,306,1.6980189778591641,0.016980189778591642,Stars (High Utility + High Freq)
FELTCRAFT CUSHION RABBIT,10578.659999999993,368916.5800000002,0.11721218493619091,368,2.0420620387325896,0.020420620387325897,Stars (High Utility + High Freq)
SET/3 RED GINGHAM ROSE STORAGE BOX,10552.679999999995,496204.0210000003,0.11692432498373549,426,2.363908773098052,0.023639087730980522,Stars (High Utility + High Freq)
CLASSIC METAL BIRDCAGE PLANT HOLDER,10398.570000000002,195184.14000000016,0.11521677697477069,267,1.4816047944065258,0.014816047944065257,Stars (High Utility + High Freq)
JUMBO BAG TOYS ,10363.299999999985,620813.1499999998,0.11482598326718377,506,2.8078353032573107,0.028078353032573108,Stars (High Utility + High Freq)
BREAD BIN DINER STYLE IVORY,10340.439999999997,266883.7300000001,0.11457269310116652,299,1.6591754064702293,0.016591754064702292,Stars (High Utility + High Freq)
